Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"161","INDIANB","Indian Bank","870.10","-5.60","-0.64","62","77","74","B-","121","Banks-Money Center      ",
"162","EICHERMOT","Eicher Motors","7611.00","10.00","0.13","62","85","74","B-","138","Auto Manufacturers      ",
"163","TBOTEK","Tbo Tek Ltd","1489.80","24.60","1.68","57","76","74","B+","149","Leisure-Travel Booking  ",
"164","HINDZINC","Hindustan Zinc (Nse)","563.55","-7.90","-1.38","74","79","73","B","24","Mining-Metal Ores       ",
"165","PTCIL","Ptc Industries","18333.00","913.00","5.24","77","96","73","B","33","Steel-Producers         ",
"166","GPIL","Godawari Power & Ispat","269.10","-1.45","-0.54","65","55","73","B-","33","Steel-Producers         ",
"167","ZFCVINDIA","ZF Commercial Vehicle Control Systems","15795.00","214.00","1.37","63","83","73","A-","49","Auto/Truck-Original Eqp ",
"168","LINDEINDIA","Linde India","7460.50","185.00","2.54","53","53","73","A","55","Chemicals-Basic         ",
"169","FORTIS","Fortis Healthcare (Nse)","962.95","4.20","0.44","61","76","73","B-","56","Medical-Hospitals       ",
"170","ZYDUSLIFE","Zydus Lifesciences","1070.80","-3.60","-0.34","59","74","73","B+","60","Medical-Generic Drugs   ",
"171","KAJARIACER","Kajaria Ceramics","1170.40","6.30","0.54","69","78","73","B","62","Bldg-Constr Prds/Misc   ",
"172","PNBHOUSING","Pnb Housing Finance","1003.00","-0.90","-0.09","60","76","73","A","111","Finance-Consumer Loans  ",
"173","AMBER","Amber Enterprises India","7889.00","-76.50","-0.96","62","48","73","B+","120","Hsehold-Appliances/Wares",
"174","CUB","City Union Bank (Nse)","196.65","-1.70","-0.86","57","79","73","B","121","Banks-Money Center      ",
"175","JSWENERGY","Jsw Energy","570.10","-5.45","-0.95","63","73","72","B","23","Utility-Electric Power  ",
"176","TATASTEEL","Tata Steel","198.96","-1.56","-0.78","81","73","72","E","33","Steel-Producers         ",
"177","TRENT","Trent","3205.80","26.10","0.82","59","88","72","A","45","Retail-Department Stores",
"178","ANTHEM","Anthem Biosciences Ltd","791.05","-7.05","-0.88","72","77","72","A-","46","Medical-Biomed/Biotech  ",
"179","MEDANTA","Global Health","1265.80","7.60","0.60","58","79","72","A","56","Medical-Hospitals       ",
"180","AJANTPHARM","Ajanta Pharma","3065.20","-8.40","-0.27","62","73","72","B+","60","Medical-Generic Drugs   ",
"181","CAMS","Computer Age Management Services","823.15","-9.65","-1.16","59","68","72","A+","68","Finance-Investment Mgmt ",
"182","TATACAP","Tata Capital Ltd","366.80","21.35","6.18","58","82","72","A+","84","Finance-Commercial Loans",
"183","AXISBANK","Axis Bank","1357.90","-2.20","-0.16","57","67","72","C+","121","Banks-Money Center      ",
"184","IDFCFIRSTB","Idfc First Bank","78.68","0.59","0.76","52","44","72","B+","121","Banks-Money Center      ",
"185","BAJAJ-AUTO","Bajaj Auto","10066.00","-11.00","-0.11","65","86","72","B+","138","Auto Manufacturers      ",
"186","ELECON","Elecon Engineering","539.05","4.05","0.76","56","50","71","A","18","Machinery-Gen Industrial",
"187","FLUOROCHEM","Gujarat Fluorochemicals","3839.90","2.40","0.06","53","22","71","B+","44","Chemicals-Specialty     ",
"188","GRSE","Garden Reach Shipbldrs & Engs","2798.30","-27.00","-0.96","55","91","71","A-","69","Transportation-Equip Mfg",
"189","LENSKART","Lenskart Solutions Ltd","511.95","6.90","1.37","69","68","71","A","85","Retail-Specialty        ",
"190","IKS","Inventurus Knowledge Solutions Ltd","1675.20","1.80","0.11","63","92","71","B","89","Comml Svcs-Healthcare   ",
"191","NBCC","Nbcc (India)","111.45","1.30","1.18","60","88","71","A+","91","Bldg-Heavy Construction ",
"192","MARICO","Marico","817.05","-3.70","-0.45","59","69","71","B","118","Cosmetics/Personal Care ",
"193","UNIONBANK","Union Bank Of India","175.76","-0.36","-0.20","57","84","71","B-","121","Banks-Money Center      ",
"194","CANHLIFE","Canara Hsbc Life Ins Comp Ltd","141.38","-0.37","-0.26","45","25","71","B","158","Insurance-Life          ",
"195","GRAPHITE","Graphite India (Nse)","639.55","-9.50","-1.46","56","35","70","B","11","Electrical-Power/Equipmt",
"196","AEGISVOPAK","Aegis Vopak Terminals Ltd","238.35","-4.75","-1.95","74","96","70","A","31","Oil&Gas-Transprt/Pipelne",
"197","RKFORGE","Ramkrishna Forgings","588.70","-0.50","-0.08","52","29","70","A","33","Steel-Producers         ",
